,source_id,spectraltype_esphs
0,5917102810783668224,M
1,5090182041338770304,M
2,5086788398702350208,M
3,462632818906131072,M
4,2252547142293262592,M
5,4487564319729463424,M
6,4487283806825008640,M
7,3002758941131864064,M
8,1936027225312667648,M
9,4140451522499420160,M
10,2989157329458979072,M
11,2987600283554734080,M
12,5576138658667203072,M
13,5986304324620166528,M
14,2241942352644072192,M
15,584472107556648576,M
16,1161983305781797120,M
17,3837648219229229952,M
18,1167428877636502784,M
19,5444891364410553856,M
20,5441579360509338880,M
21,455736338381528576,M
22,1826978864691877888,M
23,3095237146155488768,M
24,4453528250096651776,M
25,4381499896196141696,M
26,5019086279456883840,M
27,5038325636998749952,M
28,5027176554735107072,M
29,3406877426234675968,M
30,3404295536712211200,M
31,6376375075471799296,M
32,6372619865305623424,M
33,6134819929996538880,M
34,5877118421936557056,M
35,3552570383433255296,K
36,3552807293829066496,M
37,5763755229724967296,M
38,5560380801616629376,M
39,5560939765839644032,M
40,1249635616833696768,M
41,4482334492674485888,M
42,3187648933804716928,M
43,6562474599657382272,M
44,383950701666827264,M
45,1889445487487349632,M
46,5896538339885416192,M
47,6248541730460669696,M
48,6246338171718841984,M
49,5345395285912823168,M
50,2168324929573213184,M
51,5415057971819904256,K
52,388832224057925248,M
53,4026762874880787328,K
54,2061368591649965440,M
55,5751685001529543680,M
56,5754042182660055168,M
57,63248757849399808,M
58,5813146876903402624,M
59,5649751168304239360,K
60,2805435774043666560,M
61,5388081076071466112,M
62,1204560244301328512,M
63,3486386998986100992,M
64,348144487033816832,M
65,5847318461362029568,M
66,6507603815470318080,M
67,2957828223094934528,M
68,3413571360399660416,M
69,6449190537965250688,M
70,6450923784900748800,M
71,6448574158615009536,M
72,496075736373101952,M
73,2944905491137031040,M
74,2945466963627512192,M
75,232580695355844992,M
76,4494660224181371904,M
77,1732657671985726464,M
78,2063455984416775168,M
79,4230342469285321344,M
80,4230094705509739904,M
81,6819282544098280576,M
82,3390758036016697344,M
83,459693132830072320,M
84,5769165037388811008,M
85,3338515947909334272,M
86,2275022259475204096,M
87,5105939829671044224,M
88,5106029508588238464,M
89,6397051254192326400,M
90,2131671300701647232,M
91,4370655825328627712,M
92,6401589179199275008,M
93,5812323411405315712,M
94,6400160947954197888,K
95,2005166749867204352,M
96,2005079407412964352,K
97,1788950708823359360,M
98,5882940576520774912,M
99,281164334614001152,M
100,3161338616985852416,M
101,3299277161052628608,M
102,412312878988317440,M
103,2087948602356215680,M
104,5908630596955131136,M
105,6425848941194473472,M
106,4117163209088047104,M
107,6577970841661876480,M
108,6576780414165940096,M
109,6585195182813055872,M
110,6581072014207643008,K
111,4730465645397658240,M
112,4727643508286476416,M
113,5349299789136448896,M
114,6647689499592589824,M
115,4070507980182156288,M
116,3961641794760744960,M
117,4349264792250397696,M
118,182360398676067072,M
119,4350723912900157312,M
120,4350735011095805312,M
121,5882596360670364032,M
122,6092806005849068544,M
123,6477292204038408576,M
124,6446117510338633472,M
125,1363584981847937280,M
126,699715357239270400,M
127,695813362269312000,K
128,4117295562800451456,M
129,5667044871300473856,M
130,5799665799197996800,M
131,4373815924825970944,M
132,44824791258846336,M
133,5354712822326336512,M
134,1815438837296044160,M
135,5878932375581060736,M
136,5784868021942115328,M
137,2508646245330023680,M
138,2528919732214505856,M
139,6046957814082352384,M
140,6046959192774452992,M
141,4954756534176514688,M
142,4943190633924989184,M
143,4948069407535290752,M
144,4939310697908012032,M
145,4959349056806040576,M
146,4959364072011724544,M
147,2019998234008220160,M
148,4228804050656073472,M
149,4226184945239894656,M
150,5629121753193982080,M
151,5244274094854105728,M
152,5244602741448864256,M
153,6915620588988179200,M
154,2353324495442175872,M
155,2338039875067011968,M
156,5075587055272451584,M
157,192555173568545792,M
158,3199075264800150272,M
159,3205096877668330752,M
160,466263268864222848,M
161,466136343989053824,M
162,3401652581340640768,M
163,2760822127674124160,M
164,6789927855675112704,M
165,6642004440358793856,M
166,1661229307836545920,M
167,6698021534137490432,K
168,5662795877334868224,M
169,4334572258886880768,M
170,18920228587632512,K
171,4559606001196416,M
172,740964979062385024,K
173,1305514653184134144,K
174,824504601231364224,M
175,4401114943116084736,M
176,4405506048965944704,M
177,720962869688641280,M
178,5422095189831981568,M
179,1953555570966903168,M
180,4337800321945671680,M
181,4234381838790986880,M
182,4337509329321718656,M
183,6244308851214193152,M
184,6245457188025763328,M
185,5999198400546181120,M
186,6776594524843839872,M
187,5275663433834930304,M
188,564412308184102016,M
189,1490799473613594752,M
190,5408322741549080576,K
191,1222416931612159232,M
192,6054286475740237056,M
193,4040228220194486400,K
194,1146948893021900544,M
195,1144622360777381504,M
196,3071495735172208768,M
197,3071941965094197376,M
198,1868651454873571328,M
199,3871368174972951168,M
200,782274249393801728,K
201,6462861354442409344,M
202,6460857838097186816,M
203,2136185173891546752,K
204,2135021443914033920,M
205,2188365006449131776,M
206,1317638383788289152,M
207,1312974083664189824,M
208,5839825564474457600,M
209,6336070415170094976,M
210,6341555947401255808,M
211,3044935245104032896,M
212,2958976697348935040,M
213,1861178005624406784,M
214,3391120329393539200,M
215,266451013607507584,M
216,266518633572613120,M
217,267591069726747264,M
218,3460498276156113664,M
219,3715972517288035584,M
220,4109222299979119104,M
221,3218956015577464064,M
222,4479877324729220352,M
223,4475020227790268544,K
224,2935587851649370240,K
225,2015842389283910400,M
226,2479709440044481280,M
227,2505722613847390080,M
228,5846770973285176960,M
229,3926772054795514496,M
230,5926642487242337280,M
231,3212058607337945856,M
232,3209979735790672512,K
233,5371880459434992640,M
234,4696316497865349888,M
235,4701754270059404416,K
236,4526778333217510656,M
237,5147883415131586688,M
238,5135705739738491136,M
239,4773548221825950976,M
240,204803973621035520,M
241,2900799406819620992,M
242,6213460231428036480,M
243,284011623052673664,M
244,6902160191548717824,M
245,4215391761148386048,M
246,5966167902995192704,M
247,4378998782120875520,M
248,6031930999131456256,M
249,2060465587675791104,M
250,4497246344249448960,M
251,5991242987247734912,M
252,4211928780565106816,M
253,211978321352221440,M
254,1938221884881539456,M
255,1573172337850355200,M
256,1561607300888552192,M
257,4106259459727331456,M
258,4356691306100037888,M
259,4354699265909639168,M
260,5478218626997975040,M
261,3636943057457108736,M
262,5951165616635298816,M
263,4449137728367618688,M
264,5316374191886117888,M
265,5913369354633098880,M
266,229031437461000704,M
267,5256708712396000512,M
268,4118059487290247424,M
269,333964600965506176,M
270,4809259225624483200,M
271,4661395836805973888,M
272,1025162312204385920,M
273,4413410231895165824,M
274,2751066848195481216,M
275,2883220517993947648,M
276,4301078695179010688,K
277,5210850453191162880,M
278,209327742413180032,M
279,1966255544440976000,K
280,4883141459208261376,M
281,4880307777225942144,K
282,489580611950887424,M
283,4762451332002407808,M
284,5832212958306187648,M
285,4359238324786714880,M
286,1134000558760787584,M
287,5424666707017086080,M
288,6657541123778084096,M
289,5832609774597285632,M
290,1847534749937461120,M
291,223626650614106752,M
292,1928458015467303680,M
293,5648077574170788608,M
294,1287410781917419264,M
295,1292698264614099200,M
296,5197637999918634752,M
297,5261593808165974784,M
298,3309212588639222144,M
299,3312445977459467264,M
300,3314243919488602752,M
301,6131359010987333760,M
302,860292635267753344,M
303,5481125117266220288,K
304,4246191796258727808,M
305,5289440451968845952,M
306,5534555506869708288,M
307,2174604446643214720,M
308,6234675514443661440,M
309,5815251067281730432,M
310,4744800803122417408,M
311,1013205123252535168,M
312,1007418977672693760,M
313,2695981384363175296,M
314,1330971577182123136,M
315,97185424757877888,M
316,90474040141517056,M
317,3496542019660148736,M
318,3490834557880084480,M
319,374093305045203840,M
320,373252178650505984,K
321,2377817147743516544,M
322,2379433567274324992,M
323,1965181325886887168,K
324,5854640590311702656,M
325,1633588307070361600,M
326,4192084588540649600,M
327,3233067903723004544,M
328,553721614890865024,M
329,2679824679467761024,M
330,4674060870691341184,M
331,3286725136309729024,M
332,3285618546576083072,M
333,1739744093146543232,M
334,4331755584973342720,M
335,641698561046235776,M
336,3685078577009524864,M
337,4316949423997880320,M
338,3349678533554595584,M
339,3477499405980630272,K
340,3476211980942973056,M
341,4120182712948536448,M
342,2922106705218504960,K
343,2183932462763029760,M
344,5226945173124248192,M
345,2642688326349034624,M
346,3396560674273776768,M
347,4374870764495803904,M
348,4374072042315504000,M
349,2034747151735351680,M
350,6160109625142634240,M
351,1977345910223609728,M
352,5878218483294378880,M
353,1059889734132443776,K
354,1604730799765050496,M
355,446197009856542080,M
356,446619325400439552,M
357,1359605677468456576,M
358,2994761127911125888,M
359,4038266279124496000,M
360,355500769579522944,M
361,6412400333436743680,M
362,6415027685192748416,M
363,5826118159190477952,M
364,6264620885428264960,M
365,6267888256027370240,M
366,6559233239378679168,M
367,6546911699759942144,M
368,5802258619401187968,M
369,5803196605897410688,M
370,600464298025826688,M
371,4113129105258426368,M
372,6033669464493890048,M
373,254001243447906048,M
374,254388855656979584,M
375,1001426295703579648,M
376,1941074773957857408,M
377,4923615031982389120,M
378,4913926028142838784,G
379,1866171781279078272,M
380,3225272228842679424,M
381,168508304513374336,M
382,1829099990096219264,K
383,1683766238189059328,M
384,615964250880045568,M
385,612642557532426496,M
386,615097285961159040,M
387,2073659005647265152,M
388,6754525608490754176,K
389,4369225017106037376,M
390,4137436004488657664,M
391,5322187722179997184,M
392,1530252905756914816,M
393,1545549139728298368,M
394,1545795533411708032,M
395,1524134123547285376,K
396,1528834810634561920,M
397,2220322140112032640,K
398,4498536002669713024,M
399,4396122541854595840,M
400,4394486949586612096,M
401,5840425279352286848,M
402,4165999637247765632,M
403,6039337653048179456,M
404,4861639890851675904,M
405,4868110929098473472,M
406,6483219258907646464,M
407,2929091421561134720,M
408,4484520046914364160,M
409,4893883069337578112,M
410,4891171295705458432,M
411,270280509530882432,M
412,1068786810426115840,M
413,1072911112902226944,M
414,1085584599320065280,M
415,4815129105888578432,M
416,6521521742893570304,M
417,6525509637206723456,M
418,6891953356387114624,M
419,6899305137806801152,M
420,6524432768649210112,M
421,1455594588760622976,M
422,1466602143264528128,M
423,1473166433840438016,M
424,426859039870675584,M
425,2455990878289848576,M
426,2474289053878413568,K
427,1855416667766472320,M
428,5792306183745743744,M
429,456479814401729152,M
430,6694363287152907008,M
431,2013563376558485504,M
432,5827968156214183296,K
433,202091615874827264,M
434,5893852404794589568,M
435,5921603047467594496,M
436,2054381233920357632,M
437,6810021563816399872,M
438,5376010843580203392,M
439,5966649145496330240,M
440,5743669767920851328,M
441,4975077020886744064,M
442,4988019337896543232,M
443,6110776050238718336,M
444,2894521229786436864,M
445,4031633818766603008,M
446,5516142741553961088,M
447,6422117748487945984,M
448,5341856262911551872,M
449,2056687390838602240,M
450,276618163272671872,M
451,2922536167594428160,M
452,6255263800956775296,M
453,5926800915654671232,M
